RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,2,46717,Viktor Hovland,80.56%,58,72,-0.34
1,10,47347,Adam Schenk,80.56%,58,72,-0.29
3,17,50525,Collin Morikawa,77.78%,56,72,-0.30
4,30,48081,Xander Schauffele,75.00%,54,72,-0.44
5,27,51766,Wyndham Clark,73.61%,53,72,-0.36
5,-3,46046,Scottie Scheffler,73.61%,53,72,-0.15
7,7,35450,Patrick Cantlay,72.22%,52,72,-0.33
8,6,47504,Sam Burns,70.83%,51,72,-0.33
8,38,28089,Jason Day,70.83%,51,72,-0.25
8,16,29725,Tony Finau,70.83%,51,72,-0.27
8,12,34098,Russell Henley,70.83%,51,72,-0.31
8,32,46970,Jon Rahm,70.83%,51,72,-0.24
8,6,49960,Sepp Straka,70.83%,51,72,-0.43
14,-11,39997,Corey Conners,69.44%,50,72,-0.26
14,-3,30911,Tommy Fleetwood,69.44%,50,72,-0.28
16,4,25900,Lucas Glover,66.67%,48,72,-0.31
16,20,34363,Tyrrell Hatton,66.67%,48,72,-0.33
16,-10,39977,Max Homa,66.67%,48,72,-0.27
16,-2,39971,Sungjae Im,66.67%,48,72,-0.35
16,-7,28237,Rory McIlroy,66.67%,48,72,-0.35
21,-7,55182,Tom Kim,65.28%,47,72,-0.32
22,-16,33141,Keegan Bradley,63.89%,46,72,-0.35
22,2,32102,Rickie Fowler,63.89%,46,72,-0.30
24,-21,40098,Matt Fitzpatrick,62.50%,45,72,-0.31
25,11,27644,Brian Harman,61.11%,44,72,-0.32
25,11,37455,Si Woo Kim,61.11%,44,72,-0.34
27,13,25493,Nick Taylor,59.72%,43,72,-0.23
28,8,31646,Emiliano Grillo,55.56%,40,72,-0.30
29,20,49947,Taylor Moore,54.17%,39,72,-0.31
29,15,34046,Jordan Spieth,54.17%,39,72,-0.36