RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,14,48081,Xander Schauffele,3.71,178,48
2,-1,46717,Viktor Hovland,3.73,179,48
3,31,50525,Collin Morikawa,3.85,185,48
4,40,49960,Sepp Straka,3.88,186,48
5,12,35450,Patrick Cantlay,3.90,187,48
5,20,51766,Wyndham Clark,3.90,187,48
5,21,30911,Tommy Fleetwood,3.90,187,48
5,2,28237,Rory McIlroy,3.90,187,48
9,10,47504,Sam Burns,3.92,188,48
10,9,29725,Tony Finau,3.94,189,48
10,-7,46046,Scottie Scheffler,3.94,189,48
12,3,40098,Matt Fitzpatrick,3.96,190,48
12,7,34363,Tyrrell Hatton,3.96,190,48
12,-7,34098,Russell Henley,3.96,190,48
12,14,47347,Adam Schenk,3.96,190,48
16,10,32102,Rickie Fowler,3.98,191,48
16,10,46970,Jon Rahm,3.98,191,48
18,-16,39977,Max Homa,4.00,192,48
19,20,33141,Keegan Bradley,4.02,193,48
19,28,25493,Nick Taylor,4.02,193,48
21,-10,55182,Tom Kim,4.04,194,48
22,10,25900,Lucas Glover,4.06,195,48
22,-15,39971,Sungjae Im,4.06,195,48
22,12,34046,Jordan Spieth,4.06,195,48
25,-21,27644,Brian Harman,4.10,197,48
26,8,37455,Si Woo Kim,4.13,198,48
27,-20,39997,Corey Conners,4.15,199,48
27,12,31646,Emiliano Grillo,4.15,199,48
29,15,28089,Jason Day,4.17,200,48
30,19,49947,Taylor Moore,4.21,202,48